Gene name	UniProtKB Gene Name symbol	UniProtKB/Swiss-Prot ID
HLA-B	HLA-B	Q95365
HLA-B	HLA-B	P30475
HLA-B	HLA-B	P30479
GCDH	GCDH	Q92947
TBCE	TBCE	Q15813
VPS35	VPS35	Q96QK1
ABCG8	ABCG8	Q9H221
PALB2	PALB2	Q86YC2
NOD2	NOD2	Q9HC29
HERC1	HERC1	Q15751
STX6	STX6	O43752
HMCN1	HMCN1	Q96RW7
PTPRG	PTPRG	P23470
CLDN1	CLDN1	O95832
CNTN2	CNTN2	Q02246
AIRE	AIRE	O43918
GHR	GHR	P10912
TNC	TNC	P24821
CAPN10	CAPN10	Q9HC96
IL4R	IL4R	P24394
SLC11A1	SLC11A1	P49279
NBN	NBN	O60934
SLC7A9	SLC7A9	P82251
GBA2	GBA2	Q9HCG7
FIG4	FIG4	Q92562
KHDC3L	KHDC3L	Q587J8
SGCA	SGCA	Q16586
LMNA	LMNA	P02545
UGT1A8	UGT1A8	Q9HAW9
SGSH	SGSH	P51688
UGT1A6	UGT1A6	P19224
UGT1A7	UGT1A7	Q9HAW7
UGT1A3	UGT1A3	P35503
UGT1A1	UGT1A1	P22309
CARD14	CARD14	Q9BXL6
UGT1A4	UGT1A4	P22310
UGT1A5	UGT1A5	P35504
UGT1A10	UGT1A10	Q9HAW8
UGT1A9	UGT1A9	O60656
PAEP	PAEP	P09466
SEPSECS	SEPSECS	Q9HD40
F7	F7	P08709
EPB42	EPB42	P16452
MCM6	MCM6	Q14566
PIGG	PIGG	Q5H8A4
SRY	SRY	Q05066
HOXC6	HOXC6	P09630
GLT6D1	GLT6D1	Q7Z4J2
COL1A1	COL1A1	P02452
TREM2	TREM2	Q9NZC2
SLC2A10	SLC2A10	O95528
TGM1	TGM1	P22735
SLC19A3	SLC19A3	Q9BZV2
ESR1	ESR1	P03372
TREML4	TREML4	Q6UXN2
BTD	BTD	P43251
SLC30A8	SLC30A8	Q8IWU4
TLR4	TLR4	O00206
KIF1A	KIF1A	Q12756
TOX3	TOX3	O15405
USH2A	USH2A	O75445
G6PC	G6PC	P35575
CTLA4	CTLA4	P16410
FANCC	FANCC	Q00597
GDAP1	GDAP1	Q8TB36
TRAPPC9	TRAPPC9	Q96Q05
MLXIPL	MLXIPL	Q9NP71
CBS	CBS	P35520
AGXT	AGXT	P21549
SLC35A2	SLC35A2	P78381
HBA2	HBA1	P69905
HBA2	HBA2	P69905
PGM3	PGM3	O95394
DOP1A	DOP1A	Q5JWR5
CXCR4	CXCR4	P61073
MAPKAPK3	MAPKAPK3	Q16644
PTPN11	PTPN11	Q06124
CDK5RAP2	CDK5RAP2	Q96SN8
GAN	GAN	Q9H2C0
BAIAP2	BAIAP2	Q9UQB8
EDARADD	EDARADD	Q8WWZ3
METTL25	METTL25	Q8N6Q8
GFER	GFER	P55789
HNF1A	HNF1A	P20823
SPG7	SPG7	Q9UQ90
CCL2	CCL2	P13500
CDH13	CDH13	P55290
STAT4	STAT4	Q14765
HSD17B3	HSD17B3	P37058
HP	HP	P00738
TXNL4B	TXNL4B	Q9NX01
ICAM1	ICAM1	P05362
CYP27A1	CYP27A1	Q02318
FANCA	FANCA	O15360
IL17RD	IL17RD	Q8NFM7
IL19	IL19	Q9UHD0
IL10	IL10	P22301
PDE6B	PDE6B	P35913
HGD	HGD	Q93099
FTO	FTO	Q9C0B1
ATP2B4	ATP2B4	P23634
ABCA12	ABCA12	Q86UK0
SPTBN2	SPTBN2	O15020
SAR1B	SAR1B	Q9Y6B6
PPARG	PPARG	P37231
DNAJB2	DNAJB2	P25686
CPNE4	CPNE4	Q96A23
CSHL1	CSHL1	Q14406
GH1	GH1	P01241
DNAJC13	DNAJC13	O75165
SNRPE	SNRPE	P62304
USB1	USB1	Q9BQ65
USB1	C16orf57	Q9BQ65
KIAA1257	KIAA1257	Q9ULG3
SPATA3	SPATA3	Q8NHX4
SLC39A4	SLC39A4	Q6P5W5
UROD	UROD	P06132
